Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
2,302.1,333.0,1423,36.8,80
0,303.0,338.1851852,1698,30.0,89
1,300.6,334.8518519,1455,48.0,203
1,298.3,329.2962963,1408,45.3,78
1,299.8,328.9259259,1361,53.8,167
1,299.1,324.8518519,1467,47.2,218
1,297.4,323.7407407,1439,46.4,114
1,298.5,327.4444444,1462,45.1,115
1,300.5,326.3333333,1528,37.0,221
1,302.6,332.6296296,1610,39.2,152
1,300.7,327.0740741,1251,59.9,120
0,300.2,334.4814815,1432,43.6,127
1,302.5,330.037037,1539,39.0,119
0,297.6,325.2222222,1885,25.2,24
2,300.4,327.8148148,1367,51.2,143
1,295.8,315.962963,1568,35.1,111
1,302.4,334.1111111,1475,40.4,126
1,303.8,339.2962963,1428,53.3,152
2,297.4,324.4814815,1325,62.4,204
2,298.1,322.2592593,1420,63.9,19
1,302.3,332.2592593,1412,48.9,28
1,297.8,324.4814815,1548,36.9,64
2,297.4,325.5925926,1463,35.0,183
1,300.8,337.4444444,1858,26.3,144
1,297.6,327.0740741,1924,20.6,37
1,298.7,327.8148148,1510,40.6,162
2,298.0,323.7407407,1453,44.1,165
1,300.7,326.3333333,1425,45.3,100
1,300.7,335.5925926,1478,41.9,207
1,300.1,334.8518519,1530,36.6,74
0,298.8,328.5555556,1466,44.6,66
2,303.9,340.037037,1901,22.5,110
1,300.3,335.5925926,1360,48.0,119
2,300.9,328.9259259,1600,36.0,204
2,301.1,331.5185185,2219,16.7,79
0,300.3,334.4814815,1464,41.0,29
2,299.7,325.5925926,1508,41.2,152
1,300.1,334.4814815,1471,47.2,201
1,301.1,331.1481481,1417,47.6,10
2,299.4,332.2592593,1446,47.3,12
1,297.2,323.3703704,1513,42.9,212
1,298.4,324.8518519,1501,50.0,203
1,302.4,332.6296296,1423,46.2,186
2,300.8,336.3333333,1443,53.3,151
1,299.5,328.9259259,1349,52.7,92
2,301.5,330.7777778,1412,44.1,184
1,302.8,337.8148148,1651,27.0,200
1,295.8,315.5925926,1399,47.6,84
1,297.4,323.3703704,1495,37.8,211
2,302.3,335.2222222,1483,40.5,8
1,301.5,331.8888889,1785,25.5,120
1,301.9,327.4444444,1446,43.2,225
0,303.9,340.037037,1517,36.0,142
2,296.5,319.2962963,1350,55.6,69
1,299.9,326.7037037,1322,53.9,33
0,300.4,327.4444444,1571,33.6,126
0,297.4,324.1111111,1349,48.9,120
2,300.0,334.4814815,1451,49.0,115
1,301.2,330.037037,1451,39.7,123
0,298.8,324.4814815,1445,49.9,4
1,303.1,333.7407407,1403,55.6,150
2,298.8,330.037037,1366,59.0,94
1,298.0,323.3703704,1429,37.7,220
1,300.7,329.6666667,1348,54.8,50
1,300.0,325.5925926,1631,28.3,110
1,300.5,327.8148148,1589,30.5,198
1,303.5,335.962963,1565,38.9,12
1,299.9,333.7407407,1802,24.4,151
2,298.9,324.8518519,1727,27.1,37
1,298.0,323.0,1472,42.0,15
1,301.6,331.5185185,1494,39.5,24
1,302.5,329.6666667,1563,34.8,150
1,300.4,333.3703704,1351,62.0,18
2,302.3,333.0,1295,57.1,146
1,298.8,328.1851852,1485,42.4,74
1,301.7,329.6666667,1686,28.9,59
1,301.5,331.1481481,1490,48.1,81
1,303.3,334.1111111,1510,37.3,36
0,299.8,327.8148148,1368,47.4,148
2,298.0,325.2222222,1439,38.5,34
0,299.2,323.0,1388,53.2,59
2,297.1,321.5185185,1690,25.6,159
1,302.3,334.1111111,1845,21.9,27
1,300.4,336.3333333,1631,34.9,115
1,303.5,338.5555556,1602,34.2,108
2,302.3,335.2222222,1517,37.6,124
1,298.2,322.6296296,2216,16.8,139
0,301.9,330.7777778,1472,39.7,187
1,297.3,323.3703704,1545,34.3,74
1,298.2,324.1111111,1605,29.4,47
1,298.6,327.0740741,1730,30.2,41
0,296.9,321.1481481,1547,32.6,79
1,301.2,332.6296296,1567,35.1,64
2,300.5,334.1111111,1312,51.4,60
1,298.0,322.6296296,1544,34.7,213
2,300.1,333.7407407,1495,41.0,193
2,303.4,339.2962963,1518,38.7,103
1,300.4,328.5555556,1496,31.8,154
2,299.0,325.2222222,1419,45.2,27
1,297.2,323.3703704,1766,25.8,7
1,298.8,328.9259259,1389,49.6,149
2,298.2,325.2222222,1446,45.8,80
1,301.6,332.2592593,1385,50.7,195
0,301.9,332.6296296,1291,63.6,137
1,299.5,324.1111111,2549,13.0,179
2,300.3,327.4444444,1509,46.6,95
2,302.6,329.6666667,1563,39.0,97
1,302.2,334.4814815,1616,34.0,19
1,300.3,329.6666667,1492,52.3,2
1,298.9,327.8148148,1449,48.8,147
1,299.4,324.8518519,1550,33.7,174
1,300.9,337.0740741,1811,23.2,72
1,301.3,331.5185185,1516,46.0,119
2,300.4,334.1111111,1604,31.7,119
1,300.8,331.5185185,1358,48.1,198
2,298.0,324.1111111,1377,48.5,181
1,300.6,335.2222222,1488,47.7,22
0,300.7,330.037037,1369,50.7,12
1,298.9,328.9259259,1452,48.9,185
1,301.7,332.6296296,1343,49.2,25
0,301.4,331.5185185,1536,44.4,96
0,298.9,324.4814815,1621,32.7,75
1,302.6,336.7037037,1502,47.3,171
2,298.3,326.7037037,1595,29.0,103
2,301.5,331.1481481,1403,47.4,34
1,296.9,320.4074074,1464,41.4,6
2,302.5,336.3333333,1451,43.2,189
1,298.0,323.3703704,1404,46.6,201
2,299.7,332.6296296,1448,49.8,80
1,297.5,323.7407407,1671,29.4,136
2,301.5,331.5185185,1460,38.6,14
1,298.4,329.2962963,1926,23.7,83
0,301.0,333.7407407,1597,39.2,66
2,303.3,335.5925926,1536,40.6,205
1,301.4,331.5185185,1786,26.1,123
1,300.1,334.1111111,1467,35.7,45
2,301.9,334.1111111,1465,39.9,153
1,300.0,334.1111111,1487,41.2,22
1,301.9,331.1481481,1462,38.8,22
2,300.6,331.1481481,1427,52.8,75
1,298.3,327.0740741,1711,30.3,148
2,300.2,328.1851852,1743,24.1,18
1,301.0,332.2592593,1822,21.6,168
1,301.9,330.4074074,1286,62.8,22
1,300.0,334.1111111,1383,49.6,101
2,300.5,335.5925926,1591,42.0,182
1,303.5,335.5925926,1927,21.9,195
2,298.0,321.1481481,1417,51.0,137
1,301.7,329.6666667,1331,61.2,47
1,297.8,320.7777778,1563,34.3,53
1,298.7,323.3703704,1668,35.2,77
2,298.3,327.4444444,1469,54.8,191
2,302.9,332.6296296,1437,49.9,55
1,302.3,333.7407407,1614,34.1,129
1,299.5,328.9259259,1481,43.1,90
2,301.0,333.0,1420,47.4,167
2,303.6,338.1851852,1459,48.2,17
1,303.9,340.7777778,1481,40.0,100
0,299.1,331.1481481,1332,48.0,148
1,303.3,334.8518519,1301,45.1,219
1,300.2,334.1111111,1495,43.6,95
1,299.7,333.0,1650,32.4,60
1,297.8,320.4074074,1505,39.7,25
1,303.6,336.3333333,1391,50.3,101
1,300.3,335.2222222,1821,26.3,202
1,300.8,333.7407407,1524,43.5,71
1,300.5,330.4074074,1761,26.5,12
1,300.7,335.5925926,1420,47.0,119
1,301.8,331.8888889,1546,43.4,29
1,297.6,324.1111111,1455,48.2,145
2,298.1,320.7777778,1514,43.5,78
0,297.2,323.7407407,1486,46.6,98
1,303.3,337.0740741,1506,40.0,50
1,302.4,335.5925926,1648,30.0,122
1,302.7,335.962963,1389,46.5,15
1,297.9,325.2222222,1456,46.5,52
1,299.1,322.6296296,1325,46.9,28
1,301.3,330.037037,1313,55.6,127
1,303.1,338.1851852,1453,49.1,140
2,303.8,338.1851852,1366,45.1,143
1,299.7,331.1481481,1616,35.1,142
1,302.6,337.4444444,1534,34.3,31
1,299.6,331.1481481,1642,35.1,149
1,300.1,333.0,1619,33.4,186
1,297.3,322.2592593,1446,53.5,7
1,303.7,336.7037037,1363,51.8,90
1,298.7,323.3703704,1469,39.9,67
1,299.3,325.2222222,1516,38.7,64
2,299.8,331.1481481,1694,31.3,121
1,300.7,327.8148148,1507,52.4,163
1,296.6,320.037037,1459,40.2,96
1,300.6,327.0740741,1576,38.8,124
1,299.6,332.2592593,1533,31.8,91
2,299.7,330.4074074,1410,44.5,105
1,301.9,331.8888889,1540,37.6,83
1,296.9,320.7777778,1605,37.0,84
1,298.2,322.6296296,2057,18.0,168
1,301.0,332.2592593,1515,37.3,6
1,300.8,330.4074074,1368,46.8,21
1,299.0,323.7407407,1434,45.9,108
1,301.4,330.4074074,1639,28.9,94
1,297.5,324.4814815,1309,57.3,0
1,301.1,332.6296296,1378,51.1,190
2,297.4,323.3703704,1497,36.4,56
1,302.4,333.3703704,1450,47.9,154
2,302.3,329.2962963,1563,37.8,31
1,301.6,330.4074074,1517,41.1,167
2,301.7,331.5185185,1861,21.8,84
1,298.9,328.9259259,1719,27.3,58
1,299.2,324.8518519,1430,39.1,117
2,300.9,326.7037037,1724,25.6,119
1,302.7,337.4444444,1858,25.4,2
2,300.4,329.6666667,1613,36.9,231
1,300.5,330.4074074,1702,33.1,71
2,299.3,325.5925926,1703,31.3,120
1,298.3,323.0,1593,37.0,174
1,298.6,325.962963,2035,19.6,40
1,299.8,326.7037037,1480,40.9,2
1,300.6,330.7777778,1509,43.1,31
1,297.3,324.4814815,1554,36.1,70
1,297.5,324.8518519,1596,30.7,5
1,303.4,335.962963,1531,37.9,203
2,297.0,320.4074074,1498,47.1,199
1,303.8,340.4074074,1869,25.8,211
2,300.2,328.5555556,1569,31.2,176
1,300.6,327.4444444,1409,42.4,57
1,297.5,322.2592593,1647,31.3,3
1,299.8,327.4444444,1526,41.7,85
0,302.0,328.5555556,1447,42.8,185
1,300.1,326.3333333,1340,56.0,130
2,299.8,327.4444444,1434,48.0,82
1,298.7,325.5925926,1607,32.7,2
2,298.0,325.5925926,1574,34.8,40
2,298.0,321.8888889,1587,32.3,30
1,301.6,328.5555556,1440,43.4,100
0,297.4,323.7407407,1461,40.1,126
1,298.6,329.2962963,1439,49.9,17
1,300.9,330.7777778,1894,21.9,188
1,298.0,324.4814815,1790,27.2,193
0,302.4,332.2592593,1444,40.7,174
1,300.3,334.8518519,1595,38.8,154
1,299.4,330.4074074,1509,40.6,175
1,298.7,328.5555556,1465,39.7,72
2,300.4,332.6296296,1433,46.1,199
2,297.5,325.962963,1804,27.4,215
1,297.5,323.3703704,1340,57.4,143
1,298.1,323.7407407,1354,53.9,207
2,299.9,325.962963,1574,36.5,177
1,303.0,333.3703704,1383,44.6,198
2,297.6,323.0,1569,38.3,93
2,302.0,332.2592593,1456,47.2,54
1,299.9,333.7407407,1371,52.3,167
1,302.9,333.3703704,1751,23.8,196
1,300.9,332.2592593,1615,32.0,183
2,299.9,326.7037037,1487,42.2,198
1,296.4,319.2962963,1512,36.8,46
2,300.8,330.037037,1526,36.3,205
0,304.0,340.037037,1701,30.4,171
1,300.7,328.9259259,1672,29.7,176
2,298.9,329.2962963,1442,42.9,153
1,297.9,319.6666667,1602,38.3,21
1,297.6,324.8518519,1449,47.7,209
1,302.4,336.3333333,1545,36.4,12
2,301.7,333.3703704,1413,42.6,79
1,304.2,341.5185185,1482,41.4,32
2,297.1,323.0,1421,42.0,165
0,301.8,331.8888889,1470,37.6,204
1,297.8,327.8148148,1935,22.1,171
1,297.9,325.2222222,1379,47.3,28
1,300.8,327.8148148,1481,38.1,153
1,300.7,336.7037037,1512,36.9,153
2,298.2,322.6296296,1476,43.5,129
1,298.8,324.4814815,1991,20.7,59
1,300.4,327.8148148,1314,50.2,179
1,300.0,328.1851852,1474,40.6,78
2,297.8,323.0,1479,43.5,143
1,298.8,324.8518519,1461,47.9,206
1,301.8,333.0,1495,36.9,197
0,297.5,323.3703704,1557,39.1,47
1,297.0,321.8888889,1489,44.1,96
2,300.5,335.962963,1323,57.9,155
1,299.2,330.7777778,1391,45.8,38
1,297.3,322.6296296,1471,38.2,37
2,298.6,327.8148148,1422,49.7,139
1,298.5,321.5185185,1404,48.1,32
2,301.8,331.8888889,1691,33.4,62
1,297.4,325.2222222,1324,56.9,173
0,299.7,325.962963,1554,41.6,62
2,297.5,322.6296296,1459,45.2,34
1,302.6,336.3333333,1781,28.5,196
1,298.6,327.0740741,1450,44.3,7
2,298.5,327.4444444,1438,44.5,124
2,304.2,341.8888889,1437,47.2,102
1,301.5,332.2592593,1580,32.3,11
1,297.2,323.7407407,1335,53.0,39
1,303.5,337.8148148,1340,44.5,76
2,300.7,328.9259259,1641,34.6,178
1,299.4,325.962963,1621,34.5,48
1,298.2,323.7407407,1433,39.5,7
1,299.7,325.5925926,1473,39.4,125
1,303.4,335.5925926,1438,58.9,22
1,296.1,318.1851852,1898,22.7,20
1,300.7,333.0,2377,14.3,135
1,301.3,333.0,1647,28.2,140
0,298.3,329.2962963,1509,37.6,85
1,298.1,323.0,1438,45.6,105
1,298.7,323.3703704,1375,46.4,48
1,297.5,324.8518519,1738,24.0,195
1,297.1,321.8888889,1633,33.3,192
2,299.1,331.1481481,1397,49.5,165
1,298.9,328.5555556,1404,39.8,62
1,298.0,321.5185185,1433,39.2,87
2,304.1,341.1481481,1480,38.4,72
1,299.8,327.8148148,1483,39.6,87
2,298.8,324.1111111,1543,38.2,44
0,299.7,325.962963,1468,49.6,132
1,300.9,333.3703704,1789,25.5,114
1,300.7,328.5555556,1815,27.0,190
1,300.9,331.1481481,1552,34.9,95
1,300.7,332.2592593,1723,31.0,73
1,300.1,333.7407407,1547,40.0,201
2,296.7,319.6666667,1515,42.1,55
2,297.6,324.1111111,1419,41.7,81
1,301.0,330.7777778,1248,61.4,77
1,298.3,321.1481481,1507,41.2,149
2,298.8,323.3703704,1711,28.5,140
1,298.2,321.5185185,1538,38.2,59
1,301.3,330.4074074,1695,30.9,108
1,300.6,326.3333333,1409,38.7,115
2,298.7,329.2962963,1506,50.7,53
2,300.3,335.2222222,1319,51.4,170
2,300.8,331.5185185,1886,21.1,44
1,302.4,329.2962963,1645,31.6,93
1,303.8,339.6666667,1514,34.3,180
1,303.7,338.9259259,1468,43.3,168
1,302.0,330.4074074,1357,58.0,108
1,301.0,334.4814815,1559,31.8,195
2,301.1,331.5185185,1621,31.0,108
0,303.7,338.5555556,1711,27.6,170
1,297.5,326.7037037,1443,45.4,70
1,303.5,336.3333333,1756,29.7,28
1,302.0,332.2592593,1546,34.4,7
1,302.0,330.4074074,1611,35.6,117
1,300.1,325.2222222,1404,54.8,29
2,300.8,330.4074074,1518,36.0,59
2,297.6,323.0,1398,41.9,215
2,303.8,338.5555556,1768,23.9,149
2,300.6,327.8148148,1934,22.8,15
2,300.7,335.5925926,1407,42.4,224
1,297.9,321.8888889,1531,40.8,2
1,298.5,324.4814815,1305,58.7,26
2,301.7,330.7777778,1724,33.0,171
1,297.3,322.6296296,2358,14.9,49
1,300.8,336.3333333,1374,50.2,154
1,297.5,326.7037037,1517,36.7,233
1,297.7,326.3333333,1559,36.9,145
1,297.3,322.6296296,1494,38.2,14
2,301.0,336.3333333,1558,37.5,190
2,302.3,332.6296296,1384,49.7,192
2,297.3,322.6296296,1341,51.9,51
0,304.1,340.7777778,1590,43.4,52
0,300.7,337.4444444,1670,27.3,81
2,298.0,323.3703704,1682,33.0,58
1,302.1,331.8888889,1565,35.3,6
1,297.4,324.4814815,1473,46.2,167
2,297.3,324.1111111,1655,34.1,21
2,298.1,320.4074074,1498,38.3,81
1,299.0,324.1111111,1537,42.8,202
1,298.7,327.4444444,1502,46.7,198
1,299.2,324.4814815,1542,39.2,179
1,302.2,331.1481481,1348,48.4,161
1,297.2,324.1111111,1463,49.9,146
2,300.7,331.1481481,1439,41.7,184
1,303.7,339.6666667,1461,50.1,31
0,297.4,324.1111111,1323,51.1,130
1,297.5,324.8518519,1581,30.4,155
1,303.6,336.3333333,1309,52.9,86
1,298.6,322.2592593,1390,51.4,168
2,300.4,328.1851852,1517,40.3,149
1,300.7,327.4444444,1541,34.6,131
2,298.9,328.1851852,1947,21.7,105
2,298.9,327.4444444,1284,55.3,166
1,299.5,326.7037037,1390,58.8,195
1,301.7,329.2962963,2695,12.6,10
2,301.3,332.6296296,1463,50.2,214
1,299.4,325.2222222,1613,32.2,178
2,298.6,323.0,1391,42.4,169
1,303.9,338.9259259,1789,24.4,163
0,299.6,332.2592593,1679,31.2,120
2,297.5,323.0,1403,44.3,25
1,303.5,336.3333333,1761,25.8,105
2,297.3,322.6296296,1544,41.7,6
1,300.4,334.8518519,1674,33.0,172
1,298.4,326.7037037,1385,50.0,201
1,298.0,324.8518519,1508,37.1,92
1,301.0,333.0,1615,35.6,158
1,298.8,327.4444444,1523,41.9,165
1,300.3,328.9259259,1560,40.8,182
1,301.5,330.7777778,1636,28.7,106
1,300.1,333.7407407,1535,42.3,92
1,300.1,325.5925926,1353,58.7,86
2,298.6,328.9259259,1681,35.5,44
1,302.4,330.037037,1479,36.2,115
1,302.8,337.0740741,1746,27.4,44
1,303.5,339.6666667,1332,52.9,66
1,302.5,329.6666667,1454,43.0,108
2,298.3,320.7777778,1330,55.4,114
1,298.1,319.2962963,1608,33.9,193
1,301.6,330.4074074,1561,35.3,156
1,301.5,330.7777778,1479,34.2,147
0,298.7,327.4444444,1755,26.9,73
0,301.7,329.6666667,1620,30.8,42
0,297.7,322.2592593,1489,43.0,151
2,304.2,341.8888889,1532,41.3,161
2,298.1,323.7407407,1551,42.8,0
1,297.9,320.4074074,1546,37.6,72
0,297.5,326.3333333,1563,36.1,100
1,297.6,322.6296296,1595,34.3,41
2,301.0,334.4814815,1530,43.9,165
1,298.6,327.4444444,1472,39.1,14
1,298.8,324.1111111,1635,35.2,47
1,301.7,331.1481481,1303,59.7,42
1,297.4,323.7407407,1276,53.6,103
1,300.4,327.0740741,1711,29.2,215
1,300.4,330.7777778,1818,25.1,14
1,299.0,329.6666667,1682,28.8,49
1,300.6,337.4444444,1532,37.2,54
2,301.6,331.5185185,1421,44.4,94
1,298.9,324.1111111,1729,26.6,73
1,298.8,323.0,1737,27.7,130
2,302.0,333.3703704,1400,49.5,20
2,298.8,330.037037,1573,41.8,91
1,301.0,332.2592593,1679,29.8,64
2,303.6,337.4444444,1698,31.3,100
1,303.4,335.5925926,1564,35.9,171
1,302.2,335.2222222,1471,45.6,140
2,298.7,328.1851852,1528,36.7,197
1,302.0,331.1481481,1325,55.3,192
1,297.7,325.5925926,1435,38.8,165
0,299.5,331.8888889,1600,32.4,67
1,302.0,330.037037,1648,29.6,157
0,297.5,327.0740741,1668,27.9,240
2,297.2,323.3703704,1364,54.0,43
0,300.0,326.7037037,1498,38.5,37
1,300.2,326.7037037,1558,38.3,51
1,302.4,333.3703704,1448,50.5,53
1,302.4,335.5925926,1673,30.1,210
1,299.8,326.7037037,1475,43.4,51
1,299.3,324.4814815,1550,45.8,170
1,300.6,330.4074074,1401,42.6,114
1,299.8,325.5925926,1612,35.4,205
1,298.3,325.5925926,1403,45.1,138
1,297.2,321.8888889,1712,30.9,204
2,300.0,327.4444444,1477,38.1,13
1,303.9,340.037037,1626,31.4,209
1,301.3,333.3703704,1457,44.5,14
0,298.4,321.1481481,1700,28.2,120
1,298.0,321.8888889,1454,37.1,35
1,304.4,342.6296296,1607,33.5,5
1,299.2,331.5185185,1540,36.3,175
1,302.5,334.4814815,1802,26.4,192
1,296.7,320.7777778,1646,34.6,238
1,299.8,327.8148148,1429,42.6,127
1,298.6,328.1851852,1637,34.6,207
1,301.2,328.5555556,1984,19.7,169
1,301.6,328.5555556,1397,43.7,102
1,302.1,329.2962963,1447,46.6,169
1,297.8,323.0,1714,33.2,177
2,300.5,335.962963,1875,22.1,100
2,297.7,318.9259259,1365,49.2,36
0,298.8,323.7407407,1524,37.7,170
1,298.9,328.1851852,1616,36.5,110
0,299.7,331.8888889,1418,46.6,197
0,296.9,320.4074074,1656,30.8,181
1,298.7,327.8148148,1547,37.4,0
2,299.9,330.4074074,1367,53.3,201
1,296.9,320.7777778,1425,49.1,163
2,298.8,324.4814815,1441,40.5,63
2,302.2,335.2222222,1576,34.0,28
1,298.8,328.5555556,1320,47.4,210
0,298.1,321.5185185,1570,35.3,159
2,303.8,340.7777778,1732,29.6,147
1,297.2,321.8888889,1446,38.5,164
1,300.2,328.1851852,1401,49.3,163
1,298.2,322.2592593,1407,47.1,153
